#operation,time
Create 100 files 	1.0917	0.889	1.328 	0.797888888889	0.729	0.964
Create 100 files (parallel) 	0.799	0.74	0.913 	0.7948	0.571	1.031
Unlink 100 files 	0.268	0.213	0.35 	0.453333333333	0.363	0.583
Unlink 100 files (parallel) 	0.208888888889	0.181	0.32 	0.362666666667	0.291	0.483
ls with 1000 files 	0.018	0.013	0.023 	0.0162222222222	0.011	0.022
Write 10MB 	4.51344444444	4.194	4.949 	4.803	4.311	5.218
Read 10MB 	0.0528888888889	0.045	0.061 	3.98833333333	3.43	4.865
Time to 1st byte 	0.006	0.003	0.015 	0.0182	0.012	0.028
