#operation,time
Create 100 files 	0.0472	0.029	0.061 	0.0177	0.013	0.023
Create 100 files (parallel) 	0.0505555555556	0.041	0.059 	0.0356666666667	0.03	0.041
Unlink 100 files 	0.093	0.084	0.116 	0.0834	0.067	0.106
Unlink 100 files (parallel) 	0.0661	0.047	0.082 	0.0547	0.049	0.061
ls with 1000 files 	0.0215	0.019	0.024 	0.02	0.015	0.023
Write 1GB 	10.9454444444	10.474	11.559 	5.6095	4.906	6.718
Read 1GB 	2.2422	2.152	2.32 	2.28533333333	2.216	2.447
Time to 1st byte 	0.00566666666667	0.004	0.01 	0.00288888888889	0.002	0.003
